Fold,kNN,C4.5,SVM,ANN
46,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
47,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
48,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
49,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
50,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
51,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
52,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
53,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
54,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
55,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
56,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
57,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
58,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
59,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
60,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 5, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001}"
61,"{'n_neighbors': 5, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
62,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
63,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
64,"{'n_neighbors': 1, 'weights': 'uniform', 'metric': 'euclidean'}","{'max_depth': None, 'min_samples_split': 2, 'criterion': 'gini'}","{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}","{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001}"
